type_id,color,hex,count
p8-1x1,Yellow,#F4EE2A,263
p8-1x1,Pumpkin orange,#FF9016,17
p8-1x1,Black,#000000,20
p8-2x1,Yellow,#F4EE2A,241
p8-2x1,Pumpkin orange,#FF9016,8
p8-2x1,Black,#000000,5
p8-2x2,Yellow,#F4EE2A,106
p8-3x1,Yellow,#F4EE2A,102
p8-3x1,Pumpkin orange,#FF9016,6
p8-3x2,Yellow,#F4EE2A,100
p8-3x2,Pumpkin orange,#FF9016,3
p8-4x1,Yellow,#F4EE2A,88
p8-4x1,Pumpkin orange,#FF9016,2
p8-4x2,Yellow,#F4EE2A,806
