part_id,type_id,color_id,color,hex,step,bottom_z_mm,body_height_mm,x_mm,y_mm,rotation_z_deg,role,small_exception,status
MON-R3-0001,PL-02x04-H032,c0,Purple,#5E43B7,1,0.0,3.2,-52,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0002,PL-02x04-H032,c0,Purple,#5E43B7,2,0.0,3.2,-20,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0003,PL-02x04-H032,c0,Purple,#5E43B7,3,0.0,3.2,12,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0004,PL-02x04-H032,c0,Purple,#5E43B7,4,0.0,3.2,44,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0005,PL-02x04-H032,c0,Purple,#5E43B7,5,0.0,3.2,-52,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0006,PL-02x04-H032,c0,Purple,#5E43B7,6,0.0,3.2,-20,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0007,PL-02x04-H032,c0,Purple,#5E43B7,7,0.0,3.2,12,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0008,PL-02x04-H032,c0,Purple,#5E43B7,8,0.0,3.2,44,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0009,PL-02x04-H032,c0,Purple,#5E43B7,9,0.0,3.2,-52,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0010,PL-02x04-H032,c0,Purple,#5E43B7,10,0.0,3.2,-20,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0011,PL-02x04-H032,c0,Purple,#5E43B7,11,0.0,3.2,12,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0012,PL-02x04-H032,c0,Purple,#5E43B7,12,0.0,3.2,44,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0013,PL-02x04-H032,c0,Purple,#5E43B7,13,0.0,3.2,-52,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0014,PL-02x04-H032,c0,Purple,#5E43B7,14,0.0,3.2,-20,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0015,PL-02x04-H032,c0,Purple,#5E43B7,15,0.0,3.2,12,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0016,PL-02x04-H032,c0,Purple,#5E43B7,16,0.0,3.2,44,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0017,PL-02x04-H032,c0,Purple,#5E43B7,17,0.0,3.2,-52,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0018,PL-02x04-H032,c0,Purple,#5E43B7,18,0.0,3.2,-20,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0019,PL-02x04-H032,c0,Purple,#5E43B7,19,0.0,3.2,12,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0020,PL-02x04-H032,c0,Purple,#5E43B7,20,0.0,3.2,44,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0021,PL-02x04-H032,c0,Purple,#5E43B7,21,0.0,3.2,-52,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0022,PL-02x04-H032,c0,Purple,#5E43B7,22,0.0,3.2,-20,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0023,PL-02x04-H032,c0,Purple,#5E43B7,23,0.0,3.2,12,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0024,PL-02x04-H032,c0,Purple,#5E43B7,24,0.0,3.2,44,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0025,PL-02x04-H032,c0,Purple,#5E43B7,25,0.0,3.2,-52,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0026,PL-02x04-H032,c0,Purple,#5E43B7,26,0.0,3.2,-20,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0027,PL-02x04-H032,c0,Purple,#5E43B7,27,0.0,3.2,12,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
MON-R3-0028,PL-02x04-H032,c0,Purple,#5E43B7,28,0.0,3.2,44,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
