type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-6c-b3c029a19d6b,Purple,#5E43B7,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-b3c029a19d6b.stl
r2-p4-6c-ba1fb148fe5e,Purple,#5E43B7,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-ba1fb148fe5e.stl
r2-p4-6c-c4d06ae6ad9b,Purple,#5E43B7,2,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-c4d06ae6ad9b.stl
r2-p4-6c-d1a46aa0281f,Purple,#5E43B7,26,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-d1a46aa0281f.stl
r2-p4-6c-e4572ff09aea,Purple,#5E43B7,5,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-e4572ff09aea.stl
r2-p4-6c-eef9b6d6a443,Purple,#5E43B7,2,6,"[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-eef9b6d6a443.stl
r2-p4-6c-eef9b6d6a443,Hot pink,#F5547C,1,6,"[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-eef9b6d6a443.stl
r2-p4-6c-f4370264b9c3,Purple,#5E43B7,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-f4370264b9c3.stl
r2-p4-7c-221fc02caa9c,Purple,#5E43B7,1,7,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-221fc02caa9c.stl
r2-p4-7c-568180a93cb7,Purple,#5E43B7,1,7,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-568180a93cb7.stl
