part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
MON-R2-00001,r2-p4-20c-2a26b65c37d6,Purple,#5E43B7,1,32,-36.0,-10.0,2.4,0,-Z,SEATED_NOMINAL,,MON-F-00055;MON-F-00056;MON-F-00057,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00002,r2-p4-17c-7addd63c6480,Purple,#5E43B7,1,33,-34.0,-28.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00040;MON-F-00042;MON-F-00043;MON-F-00052,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00003,r2-p4-16c-a5831f166142,Purple,#5E43B7,1,34,-34.0,8.0,2.4,90,-Z,SEATED_NOMINAL,,MON-F-00067;MON-F-00068;MON-F-00078;MON-F-00080,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00004,r2-p4-13c-6b7950654930,Purple,#5E43B7,1,35,-22.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00032;MON-F-00038;MON-F-00044,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00058,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,36,-22.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00058,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00069,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,37,-22.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00069,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00005,r2-p4-10c-06b4a7fa37f8,Purple,#5E43B7,1,38,-18.0,20.0,2.4,180,-Z,SEATED_NOMINAL,,MON-F-00081;MON-F-00082,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00006,r2-p4-14c-443e3b6c2c29,Purple,#5E43B7,1,39,-14.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00033;MON-F-00045,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00059,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,40,-14.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00059,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00070,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,41,-14.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00070,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00007,r2-p4-14c-443e3b6c2c29,Purple,#5E43B7,1,42,-6.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00034;MON-F-00046,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00060,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,43,-6.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00060,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00071,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,44,-6.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00071,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00083,r2-p4-6c-7b734626068d,Purple,#5E43B7,1,45,-6.0,20.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00083,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00008,r2-p4-14c-443e3b6c2c29,Purple,#5E43B7,1,46,2.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00035;MON-F-00047,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00061,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,47,2.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00061,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00072,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,48,2.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00072,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00084,r2-p4-6c-7b734626068d,Purple,#5E43B7,1,49,2.0,20.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00084,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00009,r2-p4-14c-443e3b6c2c29,Purple,#5E43B7,1,50,10.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00036;MON-F-00048,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00062,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,51,10.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00062,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00073,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,52,10.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00073,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00010,r2-p4-14c-37b32b6e254d,Purple,#5E43B7,1,53,18.0,20.0,2.4,0,-Z,SEATED_NOMINAL,,MON-F-00085;MON-F-00086;MON-F-00087;MON-F-00088;MON-F-00089,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00011,r2-p4-13c-412272d3fa2c,Purple,#5E43B7,1,54,18.0,-32.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00037;MON-F-00039;MON-F-00049,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00063,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,55,18.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00063,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00074,r2-p4-8c-186a9f84f098,Purple,#5E43B7,1,56,18.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,MON-F-00074,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00012,r2-p4-17c-5fc4a6bda602,Purple,#5E43B7,1,57,32.0,-28.0,2.4,0,-Z,SEATED_NOMINAL,,MON-F-00041;MON-F-00050;MON-F-00051;MON-F-00053;MON-F-00054,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00013,r2-p4-20c-2a26b65c37d6,Purple,#5E43B7,1,58,32.0,-10.0,2.4,0,-Z,SEATED_NOMINAL,,MON-F-00064;MON-F-00065;MON-F-00066,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00014,r2-p4-16c-61bd7c40319c,Purple,#5E43B7,1,59,32.0,6.0,2.4,0,-Z,SEATED_NOMINAL,,MON-F-00075;MON-F-00076;MON-F-00077;MON-F-00079,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00015,r2-p4-9c-8008113072c1,Purple,#5E43B7,2,60,-44.0,-30.0,4.8,270,-Z,SEATED_NOMINAL,,MON-F-00090;MON-F-00095;MON-F-00098,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00091,r2-p4-6c-7b734626068d,Purple,#5E43B7,2,61,-44.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00091,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00092,r2-p4-6c-7b734626068d,Purple,#5E43B7,2,62,-44.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00092,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00093,r2-p4-6c-7b734626068d,Purple,#5E43B7,2,63,-44.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00093,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00016,r2-p4-8c-ea6b22f0e894,Purple,#5E43B7,2,64,-44.0,10.0,4.8,90,-Z,SEATED_NOMINAL,,MON-F-00094;MON-F-00096;MON-F-00097;MON-F-00099,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00017,r2-p4-15c-c98bfb65cf4a,Purple,#5E43B7,2,65,-22.0,-46.0,4.8,180,-Z,SEATED_NOMINAL,,MON-F-00100;MON-F-00109;MON-F-00112;MON-F-00113;MON-F-00124,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00101,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,66,-30.0,-34.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00101,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00102,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,67,-30.0,-26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00102,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00103,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,68,-30.0,-18.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00103,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00104,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,69,-30.0,-10.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00104,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00105,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,70,-30.0,-2.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00105,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00106,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,71,-30.0,6.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00106,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00107,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,72,-30.0,14.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00107,PROTOTYPE_NOT_FIT_VALIDATED
MON-R2-00018,r2-p4-9c-8008113072c1,Purple,#5E43B7,2,73,-30.0,24.0,4.8,180,-Z,SEATED_NOMINAL,,MON-F-00108;MON-F-00110;MON-F-00111,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00114,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,74,-14.0,-42.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00114,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00115,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,75,-14.0,-34.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00115,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00116,r2-p4-8c-186a9f84f098,Purple,#5E43B7,2,76,-14.0,-26.0,4.8,0,-Z,SEATED_NOMINAL,,MON-F-00116,PROTOTYPE_NOT_FIT_VALIDATED
