part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
DUC-F-00031,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,31,22.0,-6.0,0.0,0,-Z,GROUND,,DUC-F-00031,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00032,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,32,22.0,2.0,0.0,0,-Z,GROUND,,DUC-F-00032,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00033,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,33,22.0,10.0,0.0,0,-Z,GROUND,,DUC-F-00033,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00034,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,34,22.0,18.0,0.0,0,-Z,GROUND,,DUC-F-00034,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00035,r2-p4-6c-7b734626068d,Yellow,#F4EE2A,0,35,20.0,26.0,0.0,0,-Z,GROUND,,DUC-F-00035,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00036,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,36,18.0,32.0,0.0,0,-Z,GROUND,,DUC-F-00036,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00037,r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,0,37,16.0,36.0,0.0,0,-Z,GROUND,,DUC-F-00037,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00038,r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,0,38,24.0,-20.0,0.0,0,-Z,GROUND,,DUC-F-00038,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00039,r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,0,39,28.0,24.0,0.0,0,-Z,GROUND,,DUC-F-00039,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00040,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,40,32.0,-6.0,0.0,270,-Z,GROUND,,DUC-F-00040,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00041,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,41,32.0,2.0,0.0,270,-Z,GROUND,,DUC-F-00041,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00042,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,42,32.0,10.0,0.0,270,-Z,GROUND,,DUC-F-00042,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00043,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,43,32.0,18.0,0.0,270,-Z,GROUND,,DUC-F-00043,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00001,r2-p4-16c-4a708adbfba5,Yellow,#F4EE2A,1,44,-34.0,6.0,2.4,0,-Z,SEATED_NOMINAL,,DUC-F-00067;DUC-F-00068,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00002,r2-p4-11c-021340aaea91,Yellow,#F4EE2A,1,45,-32.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00056;DUC-F-00065,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00003,r2-p4-11c-1f42297da998,Yellow,#F4EE2A,1,46,-32.0,22.0,2.4,90,-Z,SEATED_NOMINAL,,DUC-F-00078;DUC-F-00079,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00004,r2-p4-9c-a91387e26c85,Yellow,#F4EE2A,1,47,-26.0,-24.0,2.4,180,-Z,SEATED_NOMINAL,,DUC-F-00049;DUC-F-00052;DUC-F-00054,PROTOTYPE_NOT_FIT_VALIDATED
DUC-R2-00005,r2-p4-7c-568180a93cb7,Yellow,#F4EE2A,1,48,-24.0,36.0,2.4,90,-Z,SEATED_NOMINAL,,DUC-F-00089;DUC-F-00090;DUC-F-00097,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00057,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,49,-22.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00057,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00069,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,50,-22.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00069,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00080,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,51,-22.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00080,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00044,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,52,-14.0,-26.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00044,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00058,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,53,-14.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00058,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00070,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,54,-14.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00070,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00081,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,55,-14.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00081,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00091,r2-p4-6c-7b734626068d,Yellow,#F4EE2A,1,56,-14.0,36.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00091,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00045,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,57,-6.0,-26.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00045,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00059,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,58,-6.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00059,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00071,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,59,-6.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00071,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00082,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,60,-6.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00082,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00092,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,61,-6.0,38.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00092,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00046,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,62,2.0,-26.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00046,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00060,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,63,2.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00060,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00072,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,64,2.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00072,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00083,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,65,2.0,22.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00083,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00093,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,66,2.0,38.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00093,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00047,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,67,10.0,-26.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00047,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00061,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,68,10.0,-10.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00061,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00073,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,1,69,10.0,6.0,2.4,270,-Z,SEATED_NOMINAL,,DUC-F-00073,PROTOTYPE_NOT_FIT_VALIDATED
