type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-5c-564708634a4a,Yellow,#F4EE2A,4,5,"[[0,0],[1,0],[2,0],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-5c-564708634a4a.stl
r2-p4-5c-88f68dc9ab4e,Yellow,#F4EE2A,20,5,"[[0,0],[0,1],[1,0],[1,1],[2,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-5c-88f68dc9ab4e.stl
r2-p4-5c-a44a3889eef4,Yellow,#F4EE2A,21,5,"[[0,0],[0,1],[1,0],[1,1],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-5c-a44a3889eef4.stl
r2-p4-6c-0c2af621b6a6,Yellow,#F4EE2A,5,6,"[[0,0],[0,1],[1,0],[1,1],[2,1],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-0c2af621b6a6.stl
r2-p4-6c-17666b24a421,Yellow,#F4EE2A,28,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-17666b24a421.stl
r2-p4-6c-1a08cd2e3808,Yellow,#F4EE2A,5,6,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-1a08cd2e3808.stl
r2-p4-6c-1f64aaa0e8b1,Yellow,#F4EE2A,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-1f64aaa0e8b1.stl
r2-p4-6c-451263ebf740,Yellow,#F4EE2A,26,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-451263ebf740.stl
r2-p4-6c-75ddfa996915,Yellow,#F4EE2A,4,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-75ddfa996915.stl
r2-p4-6c-7b734626068d,Yellow,#F4EE2A,327,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-7b734626068d.stl
r2-p4-6c-810977bf0853,Pumpkin orange,#FF9016,1,6,"[[0,0],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-810977bf0853.stl
r2-p4-6c-96d9bf699cfe,Yellow,#F4EE2A,2,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-96d9bf699cfe.stl
r2-p4-6c-acdf64d7341c,Yellow,#F4EE2A,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-acdf64d7341c.stl
r2-p4-6c-b3c029a19d6b,Yellow,#F4EE2A,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-b3c029a19d6b.stl
r2-p4-6c-c4d06ae6ad9b,Yellow,#F4EE2A,3,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-c4d06ae6ad9b.stl
r2-p4-6c-d1a46aa0281f,Yellow,#F4EE2A,25,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-d1a46aa0281f.stl
r2-p4-6c-e4572ff09aea,Yellow,#F4EE2A,4,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-e4572ff09aea.stl
r2-p4-6c-e4572ff09aea,Pumpkin orange,#FF9016,4,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-e4572ff09aea.stl
r2-p4-6c-ee2b30aa949e,Yellow,#F4EE2A,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-ee2b30aa949e.stl
r2-p4-6c-eef9b6d6a443,Yellow,#F4EE2A,5,6,"[[0,0],[1,0],[2,0],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-eef9b6d6a443.stl
r2-p4-6c-f4370264b9c3,Yellow,#F4EE2A,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-6c-f4370264b9c3.stl
r2-p4-7c-568180a93cb7,Yellow,#F4EE2A,1,7,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-568180a93cb7.stl
r2-p4-7c-626511f53153,Yellow,#F4EE2A,18,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-626511f53153.stl
r2-p4-7c-755c0164e79f,Yellow,#F4EE2A,1,7,"[[0,0],[0,1],[0,2],[1,1],[1,2],[2,2],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-755c0164e79f.stl
r2-p4-7c-8761b4a005e0,Yellow,#F4EE2A,3,7,"[[0,0],[0,1],[1,0],[1,1],[2,0],[3,0],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-7c-8761b4a005e0.stl
