part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
COP-C-00033,r2-p8-4c-4f58144d0208,Indigo purple,#482960,0,33,36.0,20.0,0.0,0,-Z,GROUND,,COP-C-00033,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00034,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,34,32.0,32.0,0.0,0,-Z,GROUND,,COP-C-00034,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00035,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,35,40.0,-56.0,0.0,0,-Z,GROUND,,COP-C-00035,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00036,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,36,48.0,-40.0,0.0,0,-Z,GROUND,,COP-C-00036,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00037,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,37,48.0,16.0,0.0,0,-Z,GROUND,,COP-C-00037,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00038,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,38,56.0,-8.0,0.0,0,-Z,GROUND,,COP-C-00038,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00001,r2-p8-12c-41587ecb2a41,Indigo purple,#482960,1,39,-64.0,-32.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00055;COP-C-00058;COP-C-00067,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00002,r2-p8-13c-6b069823e62a,Indigo purple,#482960,1,40,-64.0,16.0,4.8,90,-Z,SEATED_NOMINAL,,COP-C-00069;COP-C-00070;COP-C-00079,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00003,r2-p8-13c-728c595f23a4,Indigo purple,#482960,1,41,-40.0,44.0,4.8,180,-Z,SEATED_NOMINAL,,COP-C-00080;COP-C-00081;COP-C-00088;COP-C-00089;COP-C-00090,PROTOTYPE_NOT_FIT_VALIDATED
COP-R2-00004,r2-p8-12c-dcfe5d5c1131,Indigo purple,#482960,1,42,-44.0,-64.0,4.8,270,-Z,SEATED_NOMINAL,,COP-C-00043;COP-C-00047;COP-C-00048,PROTOTYPE_NOT_FIT_VALIDATED
