type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p8-6c-0edfbb84107f,Indigo purple,#482960,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-0edfbb84107f.stl
r2-p8-6c-15b185443efe,Indigo purple,#482960,3,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-15b185443efe.stl
r2-p8-6c-1946c5fa9765,Indigo purple,#482960,6,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-1946c5fa9765.stl
r2-p8-6c-200986d28492,Indigo purple,#482960,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-200986d28492.stl
r2-p8-6c-2ae7f801c407,Indigo purple,#482960,13,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-2ae7f801c407.stl
r2-p8-6c-2c086760427d,Indigo purple,#482960,1,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-2c086760427d.stl
r2-p8-6c-3be38319008d,Indigo purple,#482960,2,6,"[[0,0],[0,1],[1,0],[1,1],[2,1],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-3be38319008d.stl
r2-p8-6c-8052a0112cca,Indigo purple,#482960,2,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-8052a0112cca.stl
r2-p8-6c-a15e7d54488a,Indigo purple,#482960,8,6,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-a15e7d54488a.stl
r2-p8-6c-b4fd5c8c9159,Indigo purple,#482960,1,6,"[[0,0],[1,0],[1,1],[2,0],[2,1],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-b4fd5c8c9159.stl
r2-p8-6c-dc49398962cc,Indigo purple,#482960,1,6,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-6c-dc49398962cc.stl
