type_id,color,hex,count
p8-1x1,Indigo purple,#482960,378
p8-1x1,Blue,#0A2989,152
p8-1x1,Bright green,#BECF00,15
p8-2x1,Indigo purple,#482960,363
p8-2x1,Blue,#0A2989,73
p8-2x1,Bright green,#BECF00,6
p8-2x2,Indigo purple,#482960,154
p8-3x1,Indigo purple,#482960,151
p8-3x1,Blue,#0A2989,5
p8-3x1,Bright green,#BECF00,2
p8-3x2,Indigo purple,#482960,156
p8-4x1,Indigo purple,#482960,118
p8-4x1,Blue,#0A2989,6
p8-4x2,Indigo purple,#482960,1556
